title,url
Ask HN: Who is hiring? (January 2026),item?id=46466074
FracturedJson,https://github.com/j-brooke/FracturedJson/wiki
10 years of personal finances in plain text files,https://sgoel.dev/posts/10-years-of-personal-finances-in-plain-text-files/
Punkt. Unveils MC03 Smartphone,https://www.punkt.ch/blogs/news/punkt-unveils-mc03
Assorted less(1) tips,https://blog.thechases.com/posts/assorted-less-tips/
39th Chaos Communication Congress Videos,https://media.ccc.de/b/congress/2025
Standard Ebooks: Public Domain Day 2026 in Literature,https://standardebooks.org/blog/public-domain-day-2026
Clicks Communicator,https://www.clicksphone.com/en/communicator
HPV vaccination reduces oncogenic HPV16/18 prevalence from 16% to <1% in Denmark,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2025.30.27.2400820
Why users cannot create Issues directly,https://github.com/ghostty-org/ghostty/issues/3558
Happy Public Domain Day 2026,https://publicdomainreview.org/blog/2026/01/public-domain-day-2026/
Show HN: Dealta – A game-theoretic decentralized trading protocol,https://github.com/orgs/Dealta-Foundation/repositories
ThingsBoard: Open-Source IoT Platform,https://github.com/thingsboard/thingsboard
A small collection of text-only websites,https://shkspr.mobi/blog/2025/12/a-small-collection-of-text-only-websites/
A website to destroy all websites,https://henry.codes/writing/a-website-to-destroy-all-websites/
"Matz 2/2: The trajectory of Ruby's growth, Open-Source Software today etc.",https://en.kaigaiiju.ch/episodes/matz2
Can I throw a C++ exception from a structured exception?,https://devblogs.microsoft.com/oldnewthing/20170728-00/?p=96706
What You Need to Know Before Touching a Video File,https://gist.github.com/arch1t3cht/b5b9552633567fa7658deee5aec60453/
"FreeBSD: Home NAS, part 1 – configuring ZFS mirror (RAID1)",https://rtfm.co.ua/en/freebsd-home-nas-part-1-configuring-zfs-mirror-raid1/
Miri: Practical Undefined Behavior Detection for Rust [pdf],https://research.ralfj.de/papers/2026-popl-miri.pdf
